inference_images,inspection_time,status,reason,selected_model
['localhost:3306/6294fe48ae155640719bca16.jpg'],2022-05-30 22:56:32.493814,Rejected,[],MR192
['localhost:3306/6294fe58ae155640719bca17.jpg'],2022-05-30 22:56:48.456808,Rejected,[],MR197
